id_hash,section,lab2,lab3,project1,lab4,project2,midterm,final
,,,,,,,,
,,4,8,10,4,10,20,25
3679240,11714,3,5.5,9,2.75,10,15,14.63
3793555,11713,2,5,10,3,10,16,15.63
3796916,11714,4,8,8.5,1.5,9,18.8,17.13
3716471,11715,4,8,6,1.5,9,19.2,12.13
3695710,11713,3,2.25,8,3,10,13.2,15.75
3714759,11714,4,8,9,4,10,16,17.13
3806167,11713,2,4,0,1.5,3.25,13.8,12.88
3754740,11714,4,7.25,8,4,10,17.2,16.88
3796915,11713,3,2,8,1.5,7.75,14,13.75
3709243,11713,4,6,9,4,10,13.9,15.38
3798684,11715,4,8,9.5,4,9,17,17
3772134,11715,4,8,10,4,7.75,15.75,22.5
3563840,11715,4,8,7.5,4,10,15.8,13.5
3796469,11713,3,5,8.5,2,9,14.4,16.75
3793763,11714,4,8,8,4,10,12.5,13.5
3708544,11714,3,8,10,4,10,15.7,15
3767803,11713,2,7.5,10,4,7.75,14.7,16.63
3793357,11713,2,4,9.5,3,10,14.6,16.38
3702087,11715,4,7.25,9,4,10,17.4,18.75
3767372,11714,4,6,9.5,4,10,14.4,14.5
3718281,11714,4,6.5,8.5,4,9,17.8,20.88
3809612,11713,3,7,9,4,10,16.6,14.88
3757389,11715,3,8,10,4,10,16.5,14.38
3633013,11713,3.25,5.5,7.5,3.75,10,8.4,13.63
3714750,11714,4,7,9,4,10,14.5,14.88
3796481,11713,3.75,5.75,10,4,7.75,15.1,14.75
3691729,11715,4,6.5,7.5,1.5,10,15,15.25
3683883,11714,4,7.25,10,4,10,15.55,15.38
3755756,11715,4,8,8,4,9,15.6,15.88
3560971,11714,4,8,10,4,10,12.1,15.88
3810672,11715,4,7.25,9.5,4,9,16.8,16.25
3796844,11713,4,1.25,8,3.75,5.75,16,15
3717820,11713,2,6.5,8.5,4,9,13.1,16.13
3703728,11714,4,5,10,3,10,11.3,12.63
3795296,11714,4,4,5,3,3.25,14.65,15.88
3719796,11715,4,8,9.5,4,10,19,14.5
3773468,11715,4,5.5,8,4,9,13.2,18.5
3780590,11715,4,8,10,4,9,15.4,16.5
3793466,11715,4,7.5,9.5,4,9,14.5,12.5
3798590,11713,2,8,6.5,2,0,12.9,16.13
3796869,11715,2,8,9.5,4,9,12.9,18
3798514,11713,3,6,10,4,10,14.3,17
3790765,11715,4,7,8,4,9,12.15,15.25
3754730,11713,4,7,8.5,1,9,19.7,18
3793766,11715,4,8,8.5,4,9,18.8,18.75
3793420,11714,3.25,7,8,0,9,11,15.25
3718084,11714,4,8,10,4,10,18.5,15.88
3778492,11714,4,7,9,3.75,10,17.5,22.25
3796927,11714,4,8,8.5,4,10,11.9,14.25
3783580,11715,4,8,10,4,9,14,13.63
3763979,11714,4,7.5,7.5,0,10,11.1,17.38
3704565,11713,1,2,8.5,0,10,9.2,12.63
3709170,11714,4,8,8,4,10,15.4,15.63
3796939,11714,4,7,9,4,6.75,18,13.63
3770589,11713,2,1,8,2,7.75,16.2,13.25
3799531,11715,3,3,9,3,10,18,15.63
3755428,11713,2,5,7.5,0.25,10,12.5,14.5
3714079,11713,2,1,0,3.25,3.25,10.4,14.25
3712033,11714,4,8,7.5,4,10,15.3,15.5
