id_hash,section,To what extent did you use the automated feedback on Travis when you work on your labs / projects?,What do you do when you find that you have a failed test case on Travis? Describe your experience of utilizing the feedback from Travis.,What do you like about the automated feedback from Travis?,What do you dislike about the automated feedback from Travis? How do you want us to improve it?
3709243,11713,Always,Travis has a nice way of displaying when certain test cases for each method fail which makes it easier debug. The compiler can do only so much when it comes to identifying errors.,I like how travis shows what method is causing the testcase failure and it shows what specific input caused it. This makes it easy to identify the problem and how to solve it.,Sometimes travis can only catch general errors in the code. For example travis was reading that there were no test case errors for the program but when the program ran there were still errors in the output. Also sometimes travis shows errors in code when there actually were not errors but that is probably not the fault of the travis program.
3796469,11713,Very often,"I don't usually read much of the content that Travis gives back to me, although if I am really stuck, I will scroll all the way down to see which specific tests did not pass.","I like that after I finish a lab/project, I can use it as a second-check so I feel more secure that my code runs correctly.",I don't like that it is so hard to interpret the feedback Travis gives. It would be helpful to have a sort of template that shows us what the results from Travis should look like/ what each result means specifically.
3683883,11714,Very often,I looked at the feed back from travis where it said at what point the test failed. Seeing which tests failed and what the expected vs. actual results were was very helpful.,"I liked how it showed the specific tests it was running and where in your code the test failed. For example, it would show you what inputs it gave to a certain method, and it would show what the function returned, and what the function was supposed to return. That made it easier to pinpoint not only which part of the code was wrong, but what it was doing wrong.","Sometimes it wasn't as specific, like certain ""Out of Bounds"" errors for example. But that isn't really specific to travis because that happens on the terminal too. Overall, I thought travis was very helpful and definitely worth it."
3709170,11714,Very often,I look to see what test failed and try to figure out why it failed. For the labs and projects that usually meant looking at what the output should have been and what it actually was.,It was a helpful way to test my code.,Sometimes it seemed Travis would get a different result that what my IDE was producing. I don't know if it was the fault of Travis or my IDE (Eclipse) though.
3796481,11713,Always,I read through the Travis feedback and locate where things were going wrong. It is relatively easy to find the keywords associated with your modules and from there find the error.,I personally just like having a system in place to make sure at the very least my code is working the way it needs to.,I dislike the lack of specificity to the errors it gives.
3796844,11713,Always,I check where the test fails and correct any problems. I would run through it by hand to see where in the method it went wrong.,I like that Travis can test different cases and give us feedback almost instantly.,What I don't like about Travis is that it can only test cases given already in the test file and not test inputs that we can put in ourselves.
3793466,11715,Very often,I see what the expected output is compared to my output and see what the difference is and what about my code might be causing it,It tests inputs that I may not have thought of,"Sometimes it says that my output has a difference than the expected but there was no difference, I don’t know how to fix that."
3790765,11715,Very often,I usually check what travis has to say and according to the feedback I usually look at the function where the problem is occurring and try to troubleshoot it. ,"It is very helpful, because sometimes you think the lab or project is working, but once you put it into travis you can see that there is a test case for which the code doesn't work. It helps narrow down the problem and it very helpful.",It is kind of hard to read because there is so much stuff going on in the feedback window that it is hard to narrow down where travis is giving you feedback and where the random code is. 
3755428,11713,Sometimes,In the projects we would check what we failed and go to those lines of codes and test those methods to see what the issue was. Overall Travis helped solve quite a few of our smaller issues and was quite beneficial to us.,The feedback while not incredibly in depth showed us where our problems were so that we could figure out how to solve them ourselves.,It would be nice if there were a few notes on why some things failed. Like common mistakes with the method codes.
3691729,11715,Always,I check through Travis and see what tests failed when i tried to run my program through it.,It is very helpful for figuring out what parts of my code need to be fixed to make it complete and working before I turn it in.,There have been a couple occasions where I have ran through my code and it isn't passing through travis because I have created methods that don't use parts of the methods that Travis is testing. In these cases my code still works and is complete but travis thinks it doesn't since it is getting a different response than it thinks it should.
